"YEAR" "HAUL_NUMBER" "GENUS" "SPECIES" "SEX" "WEIGHT_OF_THE_FRACTION" "WEIGHT_OF_THE_SAMPLE_MEASURED" "SumSexTotal" "raising"
"12222" 2001 94 "MICM" "POU" "I" 176 176 1 1
"12223" 1997 12 "LOLI" "VUL" "I" 176 176 3 3
"12224" 2007 133 "BOOP" "BOO" "M" 176 176 2 2
"12225" 1999 25 "LEPM" "BOS" "M" 176 176 1 1
"12226" 1996 79 "LOPH" "BUD" "M" 176 176 1 1
"12227" 2006 84 "LOPH" "BUD" "M" 176 176 1 1
"12228" 2016 93 "SCYO" "CAN" "M" 176 176 1 1
"12229" 1997 12 "LOLI" "VUL" "M" 176 176 1 1
"12230" 1997 144 "LEPM" "BOS" "F" 177 177 1 1
"12231" 1999 3 "CITH" "MAC" "F" 177 177 1 1
"12232" 2000 15 "SOLE" "VUL" "F" 177 177 1 1
"12233" 2004 112 "TRIS" "CAP" "I" 177 177 15 15
"12234" 2008 88 "ASPI" "CUC" "I" 177 177 9 9
"12235" 2001 141 "HELI" "DAC" "I" 177 177 15 15
"12236" 1999 3 "CITH" "MAC" "I" 177 177 5 5
"12237" 2002 139 "OCTO" "VUL" "I" 177 177 3 3
"12238" 1997 23 "MULL" "BAR" "M" 177 177 3 3
"12239" 2008 88 "ASPI" "CUC" "M" 177 177 3 3
"12240" 1999 3 "CITH" "MAC" "M" 177 177 3 3
"12241" 2004 139 "PAGE" "ACA" "F" 178 178 4 4
"12242" 1995 76 "ILLE" "COI" "F" 178 178 1 1
"12243" 2006 112 "TRAC" "MED" "F" 178 178 2 2
"12244" 1994 84 "MERL" "MER" "F" 178 178 2 2
"12245" 2000 102 "SPIC" "SMA" "F" 178 178 8 8
"12246" 2007 133 "SPIC" "SMA" "F" 178 178 6 6
"12247" 2000 18 "TRIS" "CAP" "I" 178 178 42 42
"12248" 2002 137 "ILLE" "COI" "I" 178 178 13 13
"12249" 2002 6 "SPIC" "FLE" "I" 178 178 13 13
"12250" 2007 133 "SPIC" "SMA" "I" 178 178 2 2
"12251" 2006 134 "LOLI" "VUL" "I" 178 178 6 6
"12252" 1994 84 "MERL" "MER" "M" 178 178 2 2
"12253" 2007 75 "SEPI" "OFF" "M" 178 178 2 2
"12254" 2007 101 "SEPI" "OFF" "M" 178 178 2 2
"12255" 2007 133 "SPIC" "SMA" "M" 178 178 2 2
"12256" 2006 134 "LOLI" "VUL" "M" 178 178 2 2
"12257" 2000 81 "PAGE" "ACA" "F" 179 179 2 2
"12258" 1997 5 "PAPE" "LON" "F" 179 179 17 17
"12259" 1996 115 "TRAC" "MED" "F" 179 179 1 1
"12260" 1996 131 "MERL" "MER" "F" 179 179 2 2
"12261" 2001 88 "ELED" "MOS" "F" 179 179 1 1
"12262" 1996 101 "TRIS" "CAP" "I" 179 179 40 40
"12263" 1996 131 "MERL" "MER" "I" 179 179 3 3
"12264" 2001 113 "TRAC" "TRA" "I" 179 179 76 76
"12265" 2001 141 "TRAC" "TRA" "I" 179 179 1 1
"12266" 1999 115 "LOLI" "VUL" "I" 179 179 20 20
"12267" 2000 81 "PAGE" "ACA" "M" 179 179 1 1
"12268" 1999 21 "SCYO" "CAN" "M" 179 179 1 1
"12269" 1997 5 "PAPE" "LON" "M" 179 179 11 11
"12270" 1997 23 "MULL" "SUR" "M" 179 179 1 1
"12271" 2002 77 "ARIT" "ANT" "F" 180 180 6 6
"12272" 2016 2 "RAJA" "AST" "F" 180 180 1 1
"12273" 2002 4 "MULL" "BAR" "F" 180 180 4 4
"12274" 2013 10 "MULL" "BAR" "F" 180 180 1 1
"12275" 1998 13 "MULL" "BAR" "F" 180 180 4 4
"12276" 2005 13 "MULL" "BAR" "F" 180 180 1 1
"12277" 2018 95 "MULL" "BAR" "F" 180 180 2 2
"12278" 2006 108 "MULL" "BAR" "F" 180 180 1 1
"12279" 1995 145 "PHYI" "BLE" "F" 180 180 1 1
"12280" 2009 150 "PHYI" "BLE" "F" 180 180 1 1
"12281" 2014 143 "PAGE" "BOG" "F" 180 180 1 1
"12282" 2009 10 "BOOP" "BOO" "F" 180 180 1 1
"12283" 2009 136 "BOOP" "BOO" "F" 180 180 3 3
"12284" 2009 138 "BOOP" "BOO" "F" 180 180 2 2
"12285" 2002 26 "LEPM" "BOS" "F" 180 180 3 3
"12286" 2012 6 "SCYO" "CAN" "F" 180 180 1 1
"12287" 2004 31 "SCYO" "CAN" "F" 180 180 6 6
"12288" 1998 12 "TRIS" "CAP" "F" 180 180 3 3
"12289" 2010 88 "TRIS" "CAP" "F" 180 180 7 7
"12290" 2010 95 "TRIS" "CAP" "F" 180 180 4 4
"12291" 1996 75 "ELED" "CIR" "F" 180 180 4 4
"12292" 2014 148 "ELED" "CIR" "F" 180 180 1 1
"12293" 2012 174 "ELED" "CIR" "F" 180 180 1 1
"12294" 2014 177 "ELED" "CIR" "F" 180 180 1 1
"12295" 2017 179 "ELED" "CIR" "F" 180 180 1 1
"12296" 2009 23 "ILLE" "COI" "F" 180 180 1 1
"12297" 2014 142 "ILLE" "COI" "F" 180 180 1 1
"12298" 2009 103 "ASPI" "CUC" "F" 180 180 5 5
"12299" 2014 125 "PAGE" "ERY" "F" 180 180 3 3
"12300" 2010 174 "ZEUS" "FAB" "F" 180 180 1 1
"12301" 2009 7 "SPIC" "FLE" "F" 180 180 6 6
"12302" 2011 112 "SPIC" "FLE" "F" 180 180 9 9
"12303" 1997 77 "ARIS" "FOL" "F" 180 180 20 20
"12304" 2001 91 "ARIS" "FOL" "F" 180 180 6 6
"12305" 1994 116 "ARIS" "FOL" "F" 180 180 2 2
"12306" 2014 86 "SCYM" "LIC" "F" 180 180 1 1
"12307" 2005 16 "PAPE" "LON" "F" 180 180 18 18
"12308" 2015 22 "PAPE" "LON" "F" 180 180 7 7
"12309" 2013 39 "PAPE" "LON" "F" 180 180 10 10
"12310" 2006 106 "PAPE" "LON" "F" 180 180 12 12
"12311" 2016 132 "PAPE" "LON" "F" 180 180 12 12
"12312" 2003 135 "PAPE" "LON" "F" 180 180 22 22
"12313" 2018 137 "PAPE" "LON" "F" 180 180 22 22
"12314" 2006 139 "PAPE" "LON" "F" 180 180 15 15
"12315" 2008 172 "PAPE" "LON" "F" 180 180 9 9
"12316" 2010 8 "TRIG" "LUC" "F" 180 180 3 3
"12317" 2012 26 "GALU" "MEL" "F" 180 180 3 3
"12318" 2014 129 "MERL" "MER" "F" 180 180 1 1
"12319" 2013 85 "CHIM" "MON" "F" 180 180 2 2
"12320" 2009 107 "NEPR" "NOR" "F" 180 180 2 2
"12321" 1999 131 "NEPR" "NOR" "F" 180 180 4 4
"12322" 2016 2 "SEPI" "OFF" "F" 180 180 3 3
"12323" 2010 80 "SEPI" "OFF" "F" 180 180 1 1
"12324" 1998 25 "MICM" "POU" "F" 180 180 1 1
"12325" 2014 139 "MULL" "SUR" "F" 180 180 2 2
"12326" 2017 76 "LOLI" "VUL" "F" 180 180 2 2
"12327" 2014 126 "LOLI" "VUL" "F" 180 180 3 3
"12328" 2015 138 "LOLI" "VUL" "F" 180 180 1 1
"12329" 2011 10 "OCTO" "VUL" "F" 180 180 1 1
"12330" 2018 76 "OCTO" "VUL" "F" 180 180 1 1
"12331" 2005 13 "MULL" "BAR" "I" 180 180 2 2
"12332" 2003 27 "PHYI" "BLE" "I" 180 180 6 6
"12333" 2018 31 "PHYI" "BLE" "I" 180 180 13 13
"12334" 2017 84 "PHYI" "BLE" "I" 180 180 6 6
"12335" 2018 98 "PHYI" "BLE" "I" 180 180 20 20
"12336" 1995 145 "PHYI" "BLE" "I" 180 180 3 3
"12337" 2009 150 "PHYI" "BLE" "I" 180 180 6 6
"12338" 2014 38 "PAGE" "BOG" "I" 180 180 1 1
"12339" 2000 97 "PAGE" "BOG" "I" 180 180 1 1
"12340" 2014 161 "PAGE" "BOG" "I" 180 180 4 4
"12341" 2012 174 "PAGE" "BOG" "I" 180 180 3 3
"12342" 2012 177 "PAGE" "BOG" "I" 180 180 2 2
"12343" 2006 8 "BOOP" "BOO" "I" 180 180 8 8
"12344" 2017 117 "BOOP" "BOO" "I" 180 180 6 6
"12345" 2018 166 "BOOP" "BOO" "I" 180 180 5 5
"12346" 2012 31 "LEPM" "BOS" "I" 180 180 1 1
"12347" 2014 32 "LEPM" "BOS" "I" 180 180 1 1
"12348" 2017 151 "LEPM" "BOS" "I" 180 180 2 2
"12349" 1999 17 "LOPH" "BUD" "I" 180 180 1 1
"12350" 2014 131 "LOPH" "BUD" "I" 180 180 3 3
"12351" 2013 4 "TRIS" "CAP" "I" 180 180 20 20
"12352" 1998 12 "TRIS" "CAP" "I" 180 180 17 17
"12353" 2008 13 "TRIS" "CAP" "I" 180 180 12 12
"12354" 2010 88 "TRIS" "CAP" "I" 180 180 27 27
"12355" 1999 90 "TRIS" "CAP" "I" 180 180 40 40
"12356" 2010 95 "TRIS" "CAP" "I" 180 180 23 23
"12357" 2012 126 "TRIS" "CAP" "I" 180 180 29 29
"12358" 2017 133 "TRIS" "CAP" "I" 180 180 13 13
"12359" 2018 158 "TRIS" "CAP" "I" 180 180 12 12
"12360" 2017 161 "TRIS" "CAP" "I" 180 180 12 12
"12361" 2007 14 "ELED" "CIR" "I" 180 180 1 1
"12362" 2009 23 "ILLE" "COI" "I" 180 180 4 4
"12363" 2015 41 "ILLE" "COI" "I" 180 180 18 18
"12364" 2018 135 "ILLE" "COI" "I" 180 180 8 8
"12365" 2018 171 "ILLE" "COI" "I" 180 180 1 1
"12366" 2015 157 "ASPI" "CUC" "I" 180 180 7 7
"12367" 1997 24 "HELI" "DAC" "I" 180 180 13 13
"12368" 2002 24 "HELI" "DAC" "I" 180 180 15 15
"12369" 2017 38 "HELI" "DAC" "I" 180 180 2 2
"12370" 2001 79 "HELI" "DAC" "I" 180 180 11 11
"12371" 2012 163 "ENGR" "ENC" "I" 180 180 20 20
"12372" 2014 156 "PAGE" "ERY" "I" 180 180 64 64
"12373" 2017 22 "ZEUS" "FAB" "I" 180 180 3 3
"12374" 2017 23 "ZEUS" "FAB" "I" 180 180 5 5
"12375" 2015 1 "SPIC" "FLE" "I" 180 180 12 12
"12376" 2015 17 "SPIC" "FLE" "I" 180 180 8 8
"12377" 2018 41 "SPIC" "FLE" "I" 180 180 13 13
"12378" 2018 134 "SPIC" "FLE" "I" 180 180 11 11
"12379" 2004 14 "EUTR" "GUR" "I" 180 180 6 6
"12380" 2013 39 "PAPE" "LON" "I" 180 180 1 1
"12381" 2016 132 "PAPE" "LON" "I" 180 180 6 6
"12382" 2013 123 "TRIG" "LUC" "I" 180 180 5 5
"12383" 2008 2 "CITH" "MAC" "I" 180 180 9 9
"12384" 2018 4 "CITH" "MAC" "I" 180 180 6 6
"12385" 2018 76 "CITH" "MAC" "I" 180 180 3 3
"12386" 2017 105 "CITH" "MAC" "I" 180 180 7 7
"12387" 2015 163 "CITH" "MAC" "I" 180 180 5 5
"12388" 2014 179 "CITH" "MAC" "I" 180 180 15 15
"12389" 2017 1 "TRAC" "MED" "I" 180 180 6 6
"12390" 2014 4 "TRAC" "MED" "I" 180 180 8 8
"12391" 2014 6 "TRAC" "MED" "I" 180 180 9 9
"12392" 2013 13 "TRAC" "MED" "I" 180 180 2 2
"12393" 2014 156 "TRAC" "MED" "I" 180 180 14 14
"12394" 2018 156 "TRAC" "MED" "I" 180 180 38 38
"12395" 2012 179 "TRAC" "MED" "I" 180 180 1 1
"12396" 2014 129 "MERL" "MER" "I" 180 180 5 5
"12397" 1994 96 "NEPR" "NOR" "I" 180 180 5 5
"12398" 2007 1 "SEPI" "OFF" "I" 180 180 2 2
"12399" 2017 112 "SARD" "PIL" "I" 180 180 10 10
"12400" 2016 1 "SCOM" "PNE" "I" 180 180 13 13
"12401" 2015 84 "SCOM" "PNE" "I" 180 180 1 1
"12402" 1998 25 "MICM" "POU" "I" 180 180 1 1
"12403" 2016 32 "MICM" "POU" "I" 180 180 1 1
"12404" 2005 139 "MICM" "POU" "I" 180 180 12 12
"12405" 2013 157 "TODA" "SAG" "I" 180 180 2 2
"12406" 2016 109 "SCOM" "SCO" "I" 180 180 2 2
"12407" 2013 134 "SCOM" "SCO" "I" 180 180 3 3
"12408" 2018 160 "SCOM" "SCO" "I" 180 180 2 2
"12409" 2012 88 "SPIC" "SMA" "I" 180 180 12 12
"12410" 2015 165 "SPIC" "SMA" "I" 180 180 8 8
"12411" 1996 1 "TRAC" "TRA" "I" 180 180 37 37
"12412" 2011 1 "TRAC" "TRA" "I" 180 180 40 40
"12413" 2013 4 "TRAC" "TRA" "I" 180 180 20 20
"12414" 2000 123 "TRAC" "TRA" "I" 180 180 41 41
"12415" 2018 163 "TRAC" "TRA" "I" 180 180 30 30
"12416" 2018 179 "TRAC" "TRA" "I" 180 180 36 36
"12417" 2015 121 "DIPL" "VUL" "I" 180 180 10 10
"12418" 2015 123 "DIPL" "VUL" "I" 180 180 4 4
"12419" 2000 5 "LOLI" "VUL" "I" 180 180 48 48
"12420" 2017 10 "LOLI" "VUL" "I" 180 180 3 3
"12421" 2017 76 "LOLI" "VUL" "I" 180 180 1 1
"12422" 2014 112 "LOLI" "VUL" "I" 180 180 15 15
"12423" 2001 115 "LOLI" "VUL" "I" 180 180 5 5
"12424" 2014 126 "LOLI" "VUL" "I" 180 180 1 1
"12425" 2015 138 "LOLI" "VUL" "I" 180 180 12 12
"12426" 2011 180 "LOLI" "VUL" "I" 180 180 18 18
"12427" 2009 135 "PAGE" "ACA" "M" 180 180 6 6
"12428" 2002 4 "MULL" "BAR" "M" 180 180 2 2
"12429" 2013 10 "MULL" "BAR" "M" 180 180 5 5
"12430" 1998 13 "MULL" "BAR" "M" 180 180 2 2
"12431" 2005 13 "MULL" "BAR" "M" 180 180 1 1
"12432" 2018 95 "MULL" "BAR" "M" 180 180 2 2
"12433" 2011 26 "PAGE" "BOG" "M" 180 180 4 4
"12434" 2006 33 "PAGE" "BOG" "M" 180 180 1 1
"12435" 2018 142 "PAGE" "BOG" "M" 180 180 1 1
"12436" 2009 10 "BOOP" "BOO" "M" 180 180 4 4
"12437" 2009 136 "BOOP" "BOO" "M" 180 180 2 2
"12438" 2009 138 "BOOP" "BOO" "M" 180 180 1 1
"12439" 2006 24 "LEPM" "BOS" "M" 180 180 2 2
"12440" 2011 145 "LOPH" "BUD" "M" 180 180 1 1
"12441" 2001 5 "SCYO" "CAN" "M" 180 180 1 1
"12442" 2004 31 "SCYO" "CAN" "M" 180 180 1 1
"12443" 1998 12 "TRIS" "CAP" "M" 180 180 1 1
"12444" 2010 88 "TRIS" "CAP" "M" 180 180 9 9
"12445" 2010 95 "TRIS" "CAP" "M" 180 180 5 5
"12446" 2015 133 "ELED" "CIR" "M" 180 180 2 2
"12447" 2017 179 "ELED" "CIR" "M" 180 180 5 5
"12448" 2009 23 "ILLE" "COI" "M" 180 180 4 4
"12449" 2015 41 "ILLE" "COI" "M" 180 180 3 3
"12450" 2000 117 "ILLE" "COI" "M" 180 180 3 3
"12451" 2014 142 "ILLE" "COI" "M" 180 180 1 1
"12452" 2018 171 "ILLE" "COI" "M" 180 180 3 3
"12453" 2014 125 "PAGE" "ERY" "M" 180 180 2 2
"12454" 2003 7 "ZEUS" "FAB" "M" 180 180 2 2
"12455" 2009 7 "SPIC" "FLE" "M" 180 180 1 1
"12456" 2011 112 "SPIC" "FLE" "M" 180 180 1 1
"12457" 1997 77 "ARIS" "FOL" "M" 180 180 1 1
"12458" 1994 116 "ARIS" "FOL" "M" 180 180 7 7
"12459" 2005 16 "PAPE" "LON" "M" 180 180 13 13
"12460" 2015 22 "PAPE" "LON" "M" 180 180 10 10
"12461" 2006 106 "PAPE" "LON" "M" 180 180 10 10
"12462" 2016 132 "PAPE" "LON" "M" 180 180 18 18
"12463" 2003 135 "PAPE" "LON" "M" 180 180 16 16
"12464" 2018 137 "PAPE" "LON" "M" 180 180 18 18
"12465" 2006 139 "PAPE" "LON" "M" 180 180 5 5
"12466" 1999 143 "PAPE" "LON" "M" 180 180 13 13
"12467" 2008 172 "PAPE" "LON" "M" 180 180 6 6
"12468" 2010 8 "TRIG" "LUC" "M" 180 180 3 3
"12469" 2015 2 "TORP" "MAR" "M" 180 180 1 1
"12470" 1999 92 "TRAC" "MED" "M" 180 180 1 1
"12471" 1999 101 "TRAC" "MED" "M" 180 180 1 1
"12472" 1999 26 "GALU" "MEL" "M" 180 180 1 1
"12473" 2012 26 "GALU" "MEL" "M" 180 180 4 4
"12474" 2014 129 "MERL" "MER" "M" 180 180 2 2
"12475" 2013 17 "RAJA" "MIR" "M" 180 180 1 1
"12476" 2017 2 "ELED" "MOS" "M" 180 180 1 1
"12477" 2004 104 "ELED" "MOS" "M" 180 180 1 1
"12478" 2010 105 "ELED" "MOS" "M" 180 180 1 1
"12479" 2007 31 "NEPR" "NOR" "M" 180 180 6 6
"12480" 2010 33 "NEPR" "NOR" "M" 180 180 3 3
"12481" 2018 39 "NEPR" "NOR" "M" 180 180 2 2
"12482" 2013 93 "NEPR" "NOR" "M" 180 180 2 2
"12483" 2009 107 "NEPR" "NOR" "M" 180 180 2 2
"12484" 1999 131 "NEPR" "NOR" "M" 180 180 3 3
"12485" 2016 2 "SEPI" "OFF" "M" 180 180 5 5
"12486" 2017 4 "SEPI" "OFF" "M" 180 180 1 1
"12487" 2010 86 "MICM" "POU" "M" 180 180 1 1
"12488" 2010 168 "MICM" "POU" "M" 180 180 1 1
"12489" 2005 125 "MULL" "SUR" "M" 180 180 1 1
"12490" 2018 100 "HOMA" "VUL" "M" 180 180 1 1
"12491" 2017 10 "LOLI" "VUL" "M" 180 180 3 3
"12492" 2001 115 "LOLI" "VUL" "M" 180 180 1 1
"12493" 2018 76 "OCTO" "VUL" "M" 180 180 1 1
"12494" 2011 83 "OCTO" "VUL" "M" 180 180 1 1
"12495" 2008 109 "MULL" "BAR" "F" 181 181 2 2
"12496" 1995 134 "LEPM" "BOS" "F" 181 181 1 1
"12497" 2001 83 "ASPI" "CUC" "F" 181 181 1 1
"12498" 2000 94 "PAPE" "LON" "F" 181 181 6 6
"12499" 2002 113 "PAPE" "LON" "F" 181 181 21 21
"12500" 1995 138 "NEPR" "NOR" "F" 181 181 2 2
"12501" 1998 2 "OCTO" "VUL" "F" 181 181 1 1
"12502" 2003 4 "TRIS" "CAP" "I" 181 181 20 20
"12503" 1996 110 "ELED" "CIR" "I" 181 181 3 3
"12504" 1995 134 "LEPM" "BOS" "M" 181 181 1 1
"12505" 1996 110 "ELED" "CIR" "M" 181 181 1 1
"12506" 2001 83 "ASPI" "CUC" "M" 181 181 3 3
"12507" 2000 94 "PAPE" "LON" "M" 181 181 7 7
"12508" 2002 113 "PAPE" "LON" "M" 181 181 12 12
"12509" 1997 9 "TRAC" "MED" "M" 181 181 1 1
"12510" 1995 138 "NEPR" "NOR" "M" 181 181 7 7
"12511" 2001 101 "MULL" "SUR" "M" 181 181 1 1
"12512" 2003 89 "ZEUS" "FAB" "F" 182 182 1 1
"12513" 2004 97 "MULL" "SUR" "F" 182 182 2 2
"12514" 2004 118 "MULL" "SUR" "F" 182 182 2 2
"12515" 2012 134 "OCTO" "VUL" "F" 182 182 1 1
"12516" 2001 17 "PAGE" "BOG" "I" 182 182 4 4
"12517" 1996 84 "LOPH" "BUD" "I" 182 182 6 6
"12518" 1998 126 "TRIS" "CAP" "I" 182 182 45 45
"12519" 2005 103 "ASPI" "CUC" "I" 182 182 30 30
"12520" 2003 96 "MICM" "POU" "I" 182 182 5 5
"12521" 2002 113 "TRAC" "TRA" "I" 182 182 27 27
"12522" 2000 129 "TRAC" "TRA" "I" 182 182 72 72
"12523" 2004 97 "MULL" "SUR" "M" 182 182 1 1
"12524" 2004 118 "MULL" "SUR" "M" 182 182 1 1
"12525" 2012 134 "OCTO" "VUL" "M" 182 182 1 1
"12526" 2003 31 "ELED" "CIR" "F" 183 183 1 1
"12527" 1997 93 "ILLE" "COI" "F" 183 183 4 4
"12528" 2000 134 "ILLE" "COI" "F" 183 183 3 3
"12529" 2001 130 "PAGE" "ERY" "F" 183 183 1 1
"12530" 1998 9 "PAPE" "LON" "F" 183 183 19 19
"12531" 1995 99 "MULL" "SUR" "F" 183 183 4 4
"12532" 2014 160 "LOLI" "VUL" "F" 183 183 1 1
"12533" 1996 93 "LOPH" "BUD" "I" 183 183 2 2
"12534" 1997 93 "ILLE" "COI" "I" 183 183 5 5
"12535" 1999 113 "ILLE" "COI" "I" 183 183 12 12
"12536" 1994 139 "ILLE" "COI" "I" 183 183 2 2
"12537" 2001 77 "HELI" "DAC" "I" 183 183 7 7
"12538" 2001 130 "PAGE" "ERY" "I" 183 183 1 1
"12539" 2002 1 "TRAC" "MED" "I" 183 183 4 4
"12540" 2005 23 "LOLI" "VUL" "I" 183 183 2 2
"12541" 2014 160 "LOLI" "VUL" "I" 183 183 8 8
"12542" 2006 96 "PAGE" "BOG" "M" 183 183 3 3
"12543" 1996 93 "LOPH" "BUD" "M" 183 183 1 1
"12544" 1997 93 "ILLE" "COI" "M" 183 183 1 1
"12545" 1994 139 "ILLE" "COI" "M" 183 183 1 1
"12546" 2001 77 "HELI" "DAC" "M" 183 183 1 1
"12547" 2001 130 "PAGE" "ERY" "M" 183 183 1 1
"12548" 1998 9 "PAPE" "LON" "M" 183 183 10 10
"12549" 2005 23 "LOLI" "VUL" "M" 183 183 8 8
"12550" 2015 100 "ILLE" "COI" "F" 184 184 1 1
"12551" 1996 128 "ILLE" "COI" "F" 184 184 2 2
"12552" 2014 84 "PAPE" "LON" "F" 184 184 21 21
"12553" 2015 100 "ILLE" "COI" "I" 184 184 1 1
"12554" 2003 40 "HELI" "DAC" "I" 184 184 4 4
"12555" 2005 98 "LEPM" "BOS" "M" 184 184 2 2
"12556" 1998 26 "ILLE" "COI" "M" 184 184 1 1
"12557" 2015 100 "ILLE" "COI" "M" 184 184 2 2
"12558" 2014 84 "PAPE" "LON" "M" 184 184 16 16
"12559" 1996 98 "PHYI" "BLE" "F" 185 185 1 1
"12560" 2009 150 "BOOP" "BOO" "F" 185 185 1 1
"12561" 2010 174 "ELED" "CIR" "F" 185 185 1 1
"12562" 2010 175 "ELED" "CIR" "F" 185 185 1 1
"12563" 2017 105 "ILLE" "COI" "F" 185 185 3 3
"12564" 1995 98 "ARIS" "FOL" "F" 185 185 3 3
"12565" 2001 104 "PAPE" "LON" "F" 185 185 20 20
"12566" 2017 135 "SQUI" "MAN" "F" 185 185 3 3
"12567" 2002 33 "TRAC" "MED" "F" 185 185 1 1
"12568" 2004 112 "MERL" "MER" "F" 185 185 4 4
"12569" 1998 143 "NEPR" "NOR" "F" 185 185 1 1
"12570" 2011 137 "SPIC" "SMA" "F" 185 185 9 9
"12571" 2015 139 "MULL" "SUR" "F" 185 185 1 1
"12572" 2011 157 "TRAC" "TRA" "F" 185 185 2 2
"12573" 2000 137 "LOPH" "BUD" "I" 185 185 1 1
"12574" 2015 88 "TRIS" "CAP" "I" 185 185 55 55
"12575" 2011 4 "ILLE" "COI" "I" 185 185 26 26
"12576" 2017 105 "ILLE" "COI" "I" 185 185 2 2
"12577" 2016 26 "SPIC" "FLE" "I" 185 185 5 5
"12578" 2013 161 "SPIC" "FLE" "I" 185 185 7 7
"12579" 2004 112 "MERL" "MER" "I" 185 185 2 2
"12580" 2012 165 "SPIC" "SMA" "I" 185 185 7 7
"12581" 2011 157 "TRAC" "TRA" "I" 185 185 11 11
"12582" 2011 179 "TRAC" "TRA" "I" 185 185 14 14
"12583" 2017 125 "LOLI" "VUL" "I" 185 185 12 12
"12584" 1996 98 "PHYI" "BLE" "M" 185 185 1 1
"12585" 2001 116 "PAGE" "BOG" "M" 185 185 1 1
"12586" 2016 142 "PAGE" "BOG" "M" 185 185 2 2
"12587" 2009 150 "BOOP" "BOO" "M" 185 185 1 1
"12588" 2011 4 "ILLE" "COI" "M" 185 185 2 2
"12589" 2017 105 "ILLE" "COI" "M" 185 185 1 1
"12590" 1995 98 "ARIS" "FOL" "M" 185 185 5 5
"12591" 2001 104 "PAPE" "LON" "M" 185 185 7 7
"12592" 2017 135 "SQUI" "MAN" "M" 185 185 3 3
"12593" 2008 142 "GALU" "MEL" "M" 185 185 1 1
"12594" 2011 16 "RAJA" "MIR" "M" 185 185 1 1
"12595" 1998 143 "NEPR" "NOR" "M" 185 185 2 2
"12596" 2011 137 "SPIC" "SMA" "M" 185 185 1 1
"12597" 2015 139 "MULL" "SUR" "M" 185 185 1 1
"12598" 2008 105 "MULL" "BAR" "F" 186 186 2 2
"12599" 1998 135 "LEPM" "BOS" "F" 186 186 1 1
"12600" 1998 133 "ILLE" "COI" "F" 186 186 1 1
"12601" 2014 93 "PAPE" "LON" "F" 186 186 11 11
"12602" 1997 106 "MERL" "MER" "F" 186 186 2 2
"12603" 1996 93 "PHYI" "BLE" "I" 186 186 2 2
"12604" 1998 133 "ILLE" "COI" "I" 186 186 5 5
"12605" 1997 106 "MERL" "MER" "I" 186 186 8 8
"12606" 1996 93 "PHYI" "BLE" "M" 186 186 1 1
"12607" 2014 93 "PAPE" "LON" "M" 186 186 17 17
"12608" 2007 85 "MICM" "POU" "M" 186 186 2 2
"12609" 2005 101 "MULL" "BAR" "F" 187 187 1 1
"12610" 2014 105 "MULL" "BAR" "F" 187 187 2 2
"12611" 2006 137 "EUTR" "GUR" "F" 187 187 4 4
"12612" 2006 80 "TRAC" "MED" "F" 187 187 2 2
"12613" 2002 80 "MERL" "MER" "F" 187 187 1 1
"12614" 2004 95 "SPIC" "SMA" "F" 187 187 5 5
"12615" 2000 113 "SPIC" "SMA" "F" 187 187 10 10
"12616" 2005 101 "MULL" "BAR" "I" 187 187 2 2
"12617" 1999 79 "ILLE" "COI" "I" 187 187 30 30
"12618" 2000 81 "HELI" "DAC" "I" 187 187 16 16
"12619" 2006 137 "EUTR" "GUR" "I" 187 187 2 2
"12620" 2006 80 "TRAC" "MED" "I" 187 187 4 4
"12621" 1995 94 "MICM" "POU" "I" 187 187 10 10
"12622" 2004 95 "SPIC" "SMA" "I" 187 187 7 7
"12623" 2004 12 "TRAC" "TRA" "I" 187 187 14 14
"12624" 2014 105 "MULL" "BAR" "M" 187 187 3 3
"12625" 2004 95 "SPIC" "SMA" "M" 187 187 2 2
"12626" 2000 113 "SPIC" "SMA" "M" 187 187 1 1
"12627" 2001 129 "MULL" "BAR" "F" 188 188 5 5
"12628" 2015 22 "SCYO" "CAN" "F" 188 188 1 1
"12629" 1998 13 "TRIS" "CAP" "F" 188 188 1 1
"12630" 2003 15 "SPIC" "FLE" "F" 188 188 2 2
"12631" 2005 146 "ARIS" "FOL" "F" 188 188 2 2
"12632" 2008 84 "PAPE" "LON" "F" 188 188 12 12
"12633" 1999 115 "MERL" "MER" "F" 188 188 2 2
"12634" 1997 82 "NEPR" "NOR" "F" 188 188 1 1
"12635" 1997 108 "NEPR" "NOR" "F" 188 188 1 1
"12636" 2000 128 "NEPR" "NOR" "F" 188 188 1 1
"12637" 2000 107 "SPIC" "SMA" "F" 188 188 8 8
"12638" 2000 81 "MULL" "SUR" "F" 188 188 2 2
"12639" 2004 131 "MULL" "SUR" "F" 188 188 4 4
"12640" 1999 80 "PAGE" "ACA" "I" 188 188 21 21
"12641" 1998 13 "TRIS" "CAP" "I" 188 188 21 21
"12642" 2003 15 "SPIC" "FLE" "I" 188 188 4 4
"12643" 2005 118 "SPIC" "FLE" "I" 188 188 7 7
"12644" 2001 75 "EUTR" "GUR" "I" 188 188 21 21
"12645" 1999 115 "MERL" "MER" "I" 188 188 3 3
"12646" 2000 107 "SPIC" "SMA" "I" 188 188 1 1
"12647" 1994 121 "TRAC" "TRA" "I" 188 188 17 17
"12648" 1996 121 "LOLI" "VUL" "I" 188 188 9 9
