MeditsCode;ScientificName;SourceReference;Reference;CATFAU;CODLON;Valid_Name_Ifremer_reference
HIPPHIC;Hippocampus hippocampus ;C ;97.4.1 ;A;0;Hippocampus hippocampus (Linnaeus, 1758) 
HISTBON;Histioteuthis bonnellii ;F ;HISTIO ;C;0;Histioteuthis bonnellii (De Férussac, 1835) 
HISTREV;Histioteuthis reversa ;F ;HISTIO ;C;0;Histioteuthis reversus (Verrill, 1880) 
HISTSPP;Histioteuthis spp ;F ;HISTIO ;C;0;Histioteuthis D'Orbigny, 1848 
HOMAVUL;Homarus vulgaris ;F ;NEPH Hom 1 ;B;m;Homarus gammarus (Linnaeus, 1758) 
HOMOBAR;Homola barbata ;Z ;Z ;B;m;Homola barbata (J.C. Fabricius, 1793) 
HOPLATL;Hoplostethus atlanticus ;C ;115.2.2 ;A;0;Hoplostethus atlanticus Collett, 1889 
HOPLMED;Hoplostethus mediterraneus ;C ;115.2.1 ;A;0;Hoplostethus mediterraneus mediterraneus Cuvier, 1829 
HYGOBEN;Hygophum benoiti ;C ;58.10.2 ;A;0;Hygophum benoiti (Cocco, 1838) 
HYGOHIG;Hygophum hygomii ;C ;58.10.1 ;A;0;Hygophum hygomii (Lütken, 1892) 
HYMEITA;Hymenocephalus italicus ;C ;99.5.1 ;A;0;Hymenocephalus italicus Giglioli, 1884 
HYMPSPP;Hymenopenaeus sp ;Z ;Z ;B;m;Hymenopenaeus Smith, 1882 
HYPESPP;Hyperiidae ;;;E;0;Hyperiidae 
HYPOPIC;Hyporhamphus picarti ;C ;93.2.1 ;A;0;Hyporhamphus picarti (Valenciennes, 1847) 
ICHTOVA;Ichthyococcus ovatus ;C ;37.6.1 ;A;0;Ichthyococcus ovatus (Cocco, 1838) 
ILLECOI;Illex coindetii ;F ;OMMAS Ill 1 ;C;0;Illex coindetii (Verany, 1839) 
ILLESPP;Illex ;F ;;C;0;Illex Steenstrup, 1880 
INACCOM;Inachus communissimus ;Z ;Z ;B;m;Inachus communissimus Rizza, 1839 
INACDOR;Inachus dorsettensis ;Z ;Z ;B;m;Inachus dorsettensis (Pennant, 1777) 
INACTHO;Inachus thoracicus ;Z ;Z ;B;m;Inachus thoracicus P. Roux, 1830 
JAXENOC;Jaxea nocturna ;;;B;m;Jaxea nocturna Nardo, 1847 
LABRVIR;Labrus viridis ;C ;145.1.4 ;A;0;Labrus viridis Linnaeus, 1758 
LABSBIM;Labrus bimaculatus ;C ;145.1.1 ;A;0;Labrus mixtus Linnaeus, 1758 
LAEVCAR;Laevicardium oblongum ;F ;CARD Laev 1 ;E;0;Laevicardium oblongum (Gmelin, 1791) 
LAGOLAG;Lagocephalus lagocephalus ;C ;204.2.1 ;A;0;Lagocephalus lagocephalus lagocephalus (Linnaeus, 1758) 
LAMACRO;Lampanyctus crocodilus ;C ;58.12.1 ;A;0;Lampanyctus crocodilus (Risso, 1810) 
LAMAPUS;Lampanyctus pusillus ;C ;58.12.10 ;A;0;Lampanyctus pusillus (Johnson, 1890) 
LAMASPP;Lampanyctus spp ;C ;58.12;A;0;Lampanyctus Bonaparte, 1840 
LAMPGUT;Lampris guttatus ;C ;105.1.1 ;A;0;Lampris guttatus (Brünnich, 1788) 
LAPPFAS;Lappanella fasciata ;C ;145.7.1 ;A;0;Lappanella fasciata (Cocco, 1833) 
LATRSPP;;;;;;Latreillia P. Roux, 1830 
LEPALEP;Lepadogaster lepadogaster ;C ;208.4.1 ;A;0;Lepadogaster lepadogaster lepadogaster (Bonnaterre, 1788) 
LEPICAU;Lepidopus caudatus ;C ;155.4.1 ;A;0;Lepidopus caudatus (Euphrasen, 1788) 
LEPMBOS;Lepidorhombus boscii ;C ;195.2.2 ;A;0;Lepidorhombus boscii (Risso, 1810) 
LEPMWHS;Lepidorhombus whiffiagonis ;C ;195.2.1 ;A;0;Lepidorhombus whiffiagonis (Walbaum, 1792) 
LEPOLEP;Lepidion lepidion ;C ;103.6.1 ;A;0;Lepidion lepidion (Risso, 1810) 
LEPTCAV;Lepidotrigla cavillone ;C ;185.4.1 ;A;0;Lepidotrigla cavillone (Lacepède, 1801) 
LEPTDIE;Lepidotrigla dieuzeidei ;C ;185.4.2 ;A;0;Lepidotrigla dieuzeidei Blanc & Hureau, 1973 
LESTSPD;Lestidiops sphyrenoides ;C ;63.2.1 ;A;0;Lestidiops sphyrenoides (Risso, 1820) 
LESTSPP;Lestidiops spp. ;C ;63.2;A;0;Lestidiops Hubbs, 1916 
LICHAMI;Lichia amia ;Z ;131.5.1 ;A;0;Lichia amia (Linnaeus, 1758) 
LIGUENS;Ligur ensiferus ;Z ;Z ;B;m;Ligur ensiferus (Risso, 1816) 
LISSCHI;Lissa chinagra ;C ;Z ;B;m;Lissa chiragra (J.C. Fabricius, 1775) 
LITHMOR;Lithognathus mormyrus ;C ;139.5.1 ;A;0;Lithognathus mormyrus (Linnaeus, 1758) 
LIZAAUR;Liza aurata ;C ;181.3.2 ;A;0;Liza aurata (Risso, 1810) 
LIZARAM;Liza ramada ;C ;181.3.1 ;A;0;Liza ramado (Risso, 1810) 
LIZASAL;Liza saliens ;C ;181.3.4 ;A;0;Liza saliens (Risso, 1810) 
LOBIDOF;Lobianchia dofleini ;C ;58.14.12 ;A;0;Lobianchia dofleini (Zugmayer, 1911) 
LOBIGEM;Lobianchia gemellarii ;F ;58.14.1 ;A;0;Lobianchia gemellarii (Cocco, 1838) 
LOLIFOR;Loligo forbesi ;F ;LOLIG Lolig 2 ;C;0;Loligo forbesi Steenstrup, 1856 
LOLISPP;Loligo ;F ;;C;0;Loligo Lamarck, 1798 
LOLIVUL;Loligo vulgaris ;C ;LOLIG Loli 1 ;C;0;Loligo vulgaris Lamarck, 1798 
LOPHBUD;Lophius budegassa ;C ;210.1.2 ;A;0;Lophius budegassa Spinola, 1807 
LOPHPIS;Lophius piscatorius ;C ;210.1.1 ;A;0;Lophius piscatorius Linnaeus, 1758 
LOPHSPP;Lophius ;;;A;0;Lophius Linnaeus, 1758 
LOPOTYP;Lophogaster typicus ;F ;;E;0;Lophogaster typicus 
LUNACAT;Lunatia catena ;;NAT ;D;0;Euspira catena (da Costa, 1778) 
LUNAFUS;Lunatia fusca ;R ;D'Onghia ;E;0;Euspira fusca (De Blainville, 1825) 
LUTRSPP;Lutraria spp. ;C ;RIEDL ;E;0;Lutraria Lamarck, 1799 
MACOSCO;Macrorhamphosus scolopax ;Z ;96.1.1 ;A;0;Macroramphosus scolopax (Linnaeus, 1758) 
MACRLIN;Macropodia linaresi ;Z ;Z ;B;m;Macropodia linaresi Forest & Zariquiey-Alvarez, 1964
MACRLON;Macropodia longipes ;F ;Z ;B;m;Macropodia tenuirostris (Leach, 1814) 
MACRROS;Macropodia rostrata ;F ;MAJI ;B;m;Macropodia rostrata (Linnaeus, 1761) 
MAJACRI;Maja crispata ;F ;MAJI Maja ;B;m;Maja crispata Risso, 1827 
MAJASQU;Maja squinado ;C ;MAJI Maja 1 ;B;m;Maja squinado (Herbst, 1788) 
MAURMUE;Maurolicus muelleri ;F ;37.8.1 ;A;0;Maurolicus muelleri (Gmelin, 1789) 
MCPIARC;Liocarcinus arcuatus ;;PORT Lioc 3 ;B;m;Liocarcinus navigator (Hebst, 1794) 
MCPICOR;Liocarcinus corrugatus ;F ;Zariquiey ;B;m;Liocarcinus corrugatus (Pennant, 1777) 
MCPIDEP;Liocarcinus (Macropipus) ;;PORT Lioc 4 ;B;m;Liocarcinus depurator (Linnaeus, 1758) 
MCPIMAC;Liocarcinus maculatus ;F ;PORT Lioc ;B;m;Liocarcinus maculatus (Risso, 1827) 
MCPIPUB;Necora (Macropipus) puber ;F ;PORT Neco 1 ;B;m;Necora puber (Linnaeus, 1767) 
MCPITUB;Macropipus tuberculatus ;;PORT Macro 1 ;B;m;Macropipus tuberculatus (P. Roux, 1830) 
MEGANOR;Meganyctiphanes norvegica ;C ;;B;m;Meganyctiphanes norvegica 
MELAATL;Melanostigma atlanticum ;C ;170.6.1 ;A;0;Melanostigma atlanticum Koefoed, 1952 
MERLMER;Merluccius merluccius ;C ;100.1.1 ;A;0;Merluccius merluccius (Linnaeus, 1758) 
MICMPOU;Micromesistius poutassou ;F ;101.8.1 ;A;0;Micromesistius poutassou (Risso, 1827) 
MICOSAB;Microcosmus sabatieri ;C ;PYUR Micr 2 ;D;0;Microcosmus sabatieri Roule, 1885 
MICRMCS;Microstoma microstoma ;C ;46.1.3 ;A;0;Microstoma microstoma (Risso, 1810) 
MICUAZE;Microchirus azevia ;;198.5.2 ;A;0;Microchirus theophila (Risso, 1810) 
MICUBOS;Microchirus boscanion ;C ;;A;0;Microchirus boscanion (Chabanaud, 1926) 
MICUOCE;Microchirus ocellatus ;C ;198.5.3 ;A;0;Microchirus ocellatus (Linnaeus, 1758) 
MICUVAR;Microchirus variegatus ;C ;198.5.1 ;A;0;Microchirus variegatus (Donovan, 1808) 
MOLAMOL;Mola mola ;C ;207.1.1 ;A;0;Mola mola (Linnaeus, 1758) 
MOLVDYP;Molva dipterygia ;C ;101.14.2 ;A;0;Molva dypterygia (Pennant, 1784) 
MOLVMOL;Molva molva ; C ;101.14.1 ;A;0;Molva molva (Linnaeus, 1758) 
MONOHIS;Monochirus hispidus;;198.6.1 ;A;0;Monochirus hispidus Rafinesque, 1814 
MORAMOR;Mora moro ;C ;103.7.1 ;A;0;Mora moro (Risso, 1810) 
MORIRUG;Morio rugosa ;;;E;0;Galeodea rugosa (Linnaeus, 1771) 
MUGICEP;Mugil cephalus ;C ;181.1.1 ;A;0;Mugil cephalus Linnaeus, 1758 
MUGISPP;Mugilidae ;C ;181;A;0;Mugilidae 
MULLBAR;Mullus barbatus ;C ;138.1.1 ;A;0;Mullus barbatus Linnaeus, 1758 
MULLSUR;Mullus surmuletus ;C ;138.1.2 ;A;0;Mullus surmuletus Linnaeus, 1758 
MUNICUR;Munida curvimana ;Z ;Z ;B;m;Munida curvimana A. Milne-Edwards & Bouvier, 1894 
MUNIINT;Munida intermedia ;Z ;Z ;B;m;Munida intermedia A. Milne-Edwards et Bouvier, 1899 
MUNIIRI;Munida iris ;Z ;Z ;B;m;Munida rutllanti Zariquiey-Alvarez, 1952 
MUNIPER;Munida perarmata (= tenuimana) Z ;;Z ;B;m;Munida perarmata A. Milne-Edwards & Bouvier, 1894
MUNIRUG;Munida rugosa ;Z ;Z ;B;m;Munida rugosa (J.C. Fabricius, 1775) 
MUNISPP;Munida ;Z ;Z ;B;m;Munida Leach, 1820 
MUNITEN;Munida tenuimana ;Z ;Z ;B;m;Munida perarmata A. Milne-Edwards & Bouvier, 1864
MURAHEL;Muraena helena ;C ;73.1.1 ;A;0;Muraena helena Linnaeus, 1758 
MUREBRA;Bolinus (Murex) brandaris ;F ;MUR Bol 1 ;D;0;Bolinus brandaris (Linnaeus, 1758) 
MURETRU;Murex trunculus ;R ;RIEDL ;D;0;Hexaplex trunculus (Linnaeus, 1758) 
MUSTAST;Mustelus asterias ;C ;13c.5.2 ;A;0;Mustelus asterias Cloquet, 1821 
MUSTMED;Mustelus mediterraneus ;C ;13c.5.3 ;A;0;Mustelus punctulatus Risso, 1827 
MUSTMUS;Mustelus mustelus ;C ;13c.5.1 ;A;0;Mustelus mustelus (Linnaeus, 1758) 
MYCOPUN;Myctophum punctatum ;C ;58.1.1 ;A;0;Myctophum punctatum Rafinesque, 1810 
MYCOSPP;Myctophidae ;C ;58;A;0;Myctophidae 
MYCTRUB;Mycteroperca rubra ;C ;124.6.1 ;A;0;Mycteroperca rubra (Bloch, 1793) 
MYLIAQU;Myliobatis aquila ;C ;23.1.1 ;A;0;Myliobatis aquila (Linnaeus, 1758) 
MYTIGAL;Mytilus galloprovincialis ;F ;MYTIL Mytil 1 ;D;0;Mytilus galloprovincialis Lamarck, 1819 
MYTISPP;Mytilidae spp. ;F ;MYTIL ;D;0;Mytilidae Rafinesque, 1815 
NANSOBI;Nansenia oblita ;C ;46.4.2. ;A;0;Nansenia oblita (Facciolà, 1887) 
NASSSPP;Nassariidae ;;;D;0;Nassariidae Iredale, 1916 
NATIMIL;Naticarius millepunctatus ;;D'Angelo ;E;0;Natica stercusmuscarum (Gmelin, 1791) 
NATISPP;Naticidae ;F ;NAT ;D;0;Naticidae Guilding, 1834 
NAUCDUC;Naucrates ductor ;C ;131.6.1 ;A;0;Naucrates ductor (Linnaeus, 1758) 
NEMISCO;Nemichthys scolopaceus ;C ;76.1.1 ;A;0;Nemichthys scolopaceus Richardson, 1848 
NEORCAR;Neorossia caroli ;F ;SEPIOL ;C;0;Neorossia caroli (Joubin, 1902) 
NEPRNOR;Nephrops norvegicus ;F ;NEPH Neph 1 ;B;m;Nephrops norvegicus (Linnaeus, 1758) 
NEROMAC;Nerophis maculatus ;C ;97.2.1 ;A;0;Nerophis maculatus Rafinesque, 1810 
NEROOPH;Nerophis ophidion ;C ;97.2.2 ;A;0;Nerophis ophidion (Linnaeus, 1758) 
NETOBRE;Dysomma (Nettodarus) brevirostris ;C ;81.1.1 ;A;0;Dysomma brevirostre (Facciolà, 1887) 
NETTMEL;Nettastoma melanurum ;C ;80.1.1 ;A;0;Nettastoma melanurum Rafinesque, 1810 
NEZUAEQ;Nezumia aequalis ;C ;99.9.1 ;A;0;Nezumia aequalis (Günther, 1878) 
NEZUSCL;Nezumia sclerorhynchus ;C ;99.9.2 ;A;0;Nezumia sclerorhynchus (Valenciennes, 1838) 
NOTABON;Notacanthus bonapartei ;C ;89.1.2 ;A;0;Notacanthus bonaparte Risso, 1840 
NOTORIS;Notolepis rissoi ;C ;63.4.1 ;A;0;Arctozenus risso (Bonaparte, 1840) 
NOTSBOL;Notoscopelus bolini ;C ;58.17.5 ;A;0;Notoscopelus bolini Nafpaktitis, 1975 
NOTSELO;Notoscopelus elongatus ;C ;58.17.3 ;A;0;Notoscopelus elongatus (Costa, 1844) 
NOTSKRO;Notoscopelus kroyerii ;C ;58.17.4 ;A;0;Notoscopelus kroyeri (Malm, 1861) 
OBLAMEL;Oblada melanura ;C ;139.6.1 ;A;0;Oblada melanura (Linnaeus, 1758) 
OCENERI;Ocenebra erinacea ;R ;RIEDL ;E;0;Ocenebra erinaceus (Linnaeus, 1758) 
OCTODEP;Octopus defilippi ;F ;OCT Oct 10 ;C;0;Octopus defilippi Verany, 1851 
OCTOMAC;Octopus macropus ;F ;OCT Oct 2 ;C;0;Octopus macropus Risso, 1826 
OCTOSAL;Octopus salutii ;F ;OCT Oct 23 ;C;0;Octopus salutii Verany, 1836 
OCTOSPP;Octopus spp ;F ;OCT Oct ;C;0;Octopus Cuvier, 1797 
OCTOTET;Pteroctopus tetracirrhus ;F ;OCT Pter 1 ;C;0;Pteroctopus tetracirrhus (Delle Chiaje, 1830) 
OCTOVUL;Octopus vulgaris ;F ;OCT Oct 1 ;C;0;Octopus vulgaris Cuvier, 1797 
OCYTTUB;Ocythoe tuberculata ;F ;OCY ocy 1 ;C;0;Ocythoe tuberculata Rafinesque, 1814 
ODONFER;Odontaspis ferox ;C ;5.1.1 ;A;0;Odontaspis ferox (Risso, 1810) 
ODONTAU;Eugonphodus (Odontaspis) taurus ;C ;5.1.3 ;A;0;Carcharias taurus Rafinesque, 1810 
OEDALAB;Oedalechilus labeo ;C ;181.4.1 ;A;0;Oedalechilus labeo (Cuvier, 1829) 
OLIGATE;Oligopus ater ;C ;172.1.1 ;A;0;Grammonus ater (Risso, 1810) 
ONYCBAN;Onychoteuthis banksi ;F ;ONYCHO ;C;0;Onychoteuthis banksii (Leach, 1817) 
ONYCSPP;Onychoteuthis spp ;F ;ONYCHO ;C;0;Onychoteuthis Lichtenstein, 1818 
OPDIBAR;Ophidion barbatum ;C ;173.1.1 ;A;0;Ophidion barbatum Linnaeus, 1758 
OPDIROC;Ophidion rochei ;C ;173.1.2+3 ;A;0;Ophidion rochei Müller, 1845 
OPHCRUF;Ophichthus rufus ;C ;86.1.2 ;A;0;Ophichthus rufus (Rafinesque, 1810) 
OPHISER;Ophisurus serpens ;C ;86.4.1 ;A;0;Ophisurus serpens (Linnaeus, 1758) 
OPHOFRA;Ophiothrix fragilis ;R ;RIEDL ;E;0;Ophiothrix fragilis (Abildgaard) 
OPISSPP;Opisthobranchia spp ;Z ;Z ;E;0;Opisthobranchia Milne-Edwards, 1848 
OPLOSPP;Oplophoridae ;;FAUNA IBER ;B;m;Oplophoridae Dana, 1852 
OPTOAGA;Opistoteuthis agassizii ;F ;OSTR Ostr 1 ;C;m;Opisthoteuthis agassizii Verrill, 1883 
OSTREDU;Ostrea edulis ;R ;RIEDL ;D;0;Ostrea edulis Linnaeus, 1758 
OSTRSPP;Ostrea spp. ;C ;15.1.1 ;E;0;Ostrea Linnaeus, 1758 
OXYNCEN;Oxynotus centrina ;C ;139.7.2 ;A;0;Oxynotus centrina (Linnaeus, 1758) 
PAGEACA;Pagellus acarne ;C ;139.7.3 ;A;0;Pagellus acarne (Risso, 1827) 
PAGEBOG;Pagellus bogaraveo ;C ;139.7.1 ;A;0;Pagellus bogaraveo (Brünnich, 1768) 
PAGEERY;Pagellus erythrinus ;;;A;0;Pagellus erythrinus (Linnaeus, 1758) 
PAGIERE;Paguristes eremita ;Z ;Z ;B;m;Paguristes eremita (Linnaeus, 1767) 
PAGUALA;Pagurus alatus ;;;B;m;Pagurus alatus (J.C. Fabricius, 1775) 
PAGUCUA;Pagurus cuanensis ;Z ;Z ;B;m;Pagurus cuanensis Bell, 1845 
PAGUEXC;Pagurus excavatus ;Z ;Z ;B;m;Pagurus excavatus (Herbst, 1791) 
PAGUFOR;Pagurus forbesii ;Z ;Z ;B;m;Pagurus forbesii Bell, 1845 
PAGUPRI;Pagurus prideauxi ;F ;PALIN Palin 1 ;B;m;Pagurus prideaux Leach, 1815 
PALIELE;Palinurus elephas ;F ;PALIN Palin 3 ;B;m;Palinurus elephas (J.C. Fabricius, 1787) 
PALIMAU;Palinurus mauritanicus ;F ;PALIN ;B;m;Palinurus mauritanicus Gruvel, 1911 
PALISPP;Palinurus ;F ;PANDL ;B;m;Palinurus Weber, 1795 
PANDPRO;Pandalina profonda ;F ;PANDL Parapnd B ;B;m;Pandalina profunda Holthuis, 1946 
PAPANAR;Parapandalus narval ;F ;PEN Parap 1 ;B;m;Plesionika narval (J.C. Fabricius, 1787) 
PAPELON;Parapenaeus longirostris ;C ;136.3.1 ;B;m;Parapenaeus longirostris (Lucas, 1846) 
PAPOHUM;Parapristipoma humile ;C ;136.3.2 ;A;0;Parapristipoma humile (Bowdich, 1825) 
PAPOOCT;Parapristipoma octolineatum ;C ;192.3.3 ;A;0;Parapristipoma octolineatum (Valenciennes, 1833) 
PARALEP;Paraliparis leptochirus ;C ;63.1;A;0;Paraliparis leptochirus (Tortonese, 1959) 
PARLCOR;Paralepis coregonoides ;F ;PARALEP ;A;0;Paralepis coregonoides Risso, 1820 
PARLSPE;Paralepis speciosa ;F ;HOM Par 1 ;A;0;Paralepis speciosa Bellotti, 1878 
PAROCUV;Paromola cuvieri ;Z ;Z ;B;m;Paromola cuvieri (Risso, 1816) 
PARTANG;Partenope angulifrons ;Z ;Z ;B;m;Parthenope angulifrons Latreille, 1825 
PARTMAC;Parthenope macrochelos ;Z ;Z ;B;m;Parthenope macrochelos (Herbst, 1790) 
PARTMAS;Parthenope massena ;F ;PASI Pasi 1 ;B;m;Parthenope massena (P. Roux, 1830) 
PASIMUL;Pasiphaea multidentata ;F ;PASI Pasi 2 ;B;m;Pasiphaea multidentata Esmark, 1866 
PASISIV;Pasiphaea sivado ;F ;PECT Pect 1 ;B;m;Pasiphaea sivado (Risso, 1816) 
PECTJAC;Pecten jacobaeus ;F ;PECT ;D;0;Pecten jacobeus (Linnaeus, 1758) 
PECTMAX;Pecten maximus ;;;D;0;Pecten maximus (Linnaeus, 1758) 
PECTSPP;Pecten ;F ;PECT ;D;0;Pecten Müller O.F., 1776 
PELTATR;Peltodoris atromaculata ;R ;RIEDL ;E;0;Discodoris atromaculata (Bergh, 1880) 
PENAKER;Penaeus kerathurus ;F ;PEN Pen 1 ;B;m;Penaeus kerathurus (Forskål, 1775) 
PENNPHO;Pennatula phosphorea ;Z ;Z ;D;0;Pennatula phosphorea Linnaeus, 1758 
PERCGRA;Periclimenes granulatus ;C ;186.1.1 ;B;m;Periclimenes granulatus Holthuis, 1950 
PERICAT;Peristedion cataphractum ;F ;CASS Phal 1 ;A;0;Peristedion cataphractum (Linnaeus, 1758) 
PHALGRA;Phallium granulatum ;F ;CRANG ;D;0;Phalium granulatum (Von Born, 1778) 
PHILECH;Philoceras echinulatus ;C ;195.3.1 ;B;m;Philocheras echinulatus (M. Sars, 1861) 
PHRYREG;Phrynorhombus regius ;C ;195.3.1 ;A;0;Phrynorhombus regius (Bonnaterre, 1788) 
PHRYSPP;Phrynorhombus ;C ;101.15.2 ;A;0;Phrynorhombus Günther, 1862 
PHYIBLE;Phycis blennoides ;C ;101.15.1 ;A;0;Phycis blennoides (Brünnich, 1768) 
PHYIPHY;Phycis phycis ;F ;MUR Phyl 1 ;A;0;Phycis phycis (Linnaeus, 1766) 
PHYLTRU;Phylonotus (Murex)(=Trunculariopsis) ;C ;103.8.1 ;D;0;Hexaplex trunculus (Linnaeus, 1758) 
PHYSDAL;Physiculus dalwigki ;Z ;Z ;A;0;Physiculus dalwigki Kaup, 1858 
PILUSPI;Pilumnus spinifer ;Z ;Z ;B;m;Pilumnus hirtellus forma spinifer H. Milne-Edwards, 1834 
PILUVIL;Pilumnus villosissimus ;F ;PINN Pinn 1 ;B;m;Pilumnus villosissimus (Rafinesque, 1814) 
PINNNOB;Pinna nobilis ;R ;RIEDL ;D;0;Pinna nobilis Linnaeus, 1758 
PINNPEC;Pinna pectinata ;Z ;Z ;E;0;Atrina pectinata (Linnaeus, 1767) 
PINOPIN;Pinnotheres pinnotheres ;Z ;Z ;B;m;Nepinnotheres pinnotheres (Linnaeus, 1758) 
PISAARN;Pisa armata ;Z ;Z ;B;m;Pisa armata (Latreille, 1803) 
PISANOD;Pisa nodipes ;Z ;Z ;B;m;Pisa nodipes (Leach, 1815) 
PISILON;Pisidia longicornis ;C ;197.8.1 ;B;m;Pisidia longicornis (Linnaeus, 1767) 
PLATFLE;Platichys flesus ;C ;136.4.1 ;A;0;Platichthys flesus (Linnaeus, 1758) 
PLEOMED;Plectorhinchus mediterraneus ;R ;RIEDL ;A;0;Plectorhinchus mediterraneus (Guichenot, 1850) 
PLERMEC;Pleurobranchea meckely ;Z ;Z ;E;0;Pleurobranchaea meckelii Meckel, 1813 
PLESACA;Plesionika acanthonotus ;Z ;Z ;B;m;Plesionika acanthonotus (S.I. Smith, 1882) 
PLESANT;Plesionika antigai ;F ;PANDL Plesio 2 B ;B;m;Plesionika antigai Zariquiey-Alvarez, 1955 
PLESEDW;Plesionika edwardsii ;Z ;Z ;B;m;Plesionika narval (J.C. Fabricius, 1787) 
PLESGIG;Plesionika gigliolii ;F ;PANDL Plesio 8 B ;B;m;Plesionika gigliolii (Senna, 1902) 
PLESHET;Plesionika heterocarpus ;F ;PANDL Plesio 1 B ;B;m;Plesionika heterocarpus (A. Costa, 1871) 
PLESMAR;Plesionika martia ;;E ;B;m;Plesionika martia martia (A. Milne-Edwards, 1883) 
PLEUPIL;Pleurobrachia pileus ;C ;89.2.1 ;E;0;Pleurobrachia pileus 
POLARIS;Polyacanthonotus rissoanus ;F ;PORT ;A;0;Polyacanthonotus rissoanus (De Filippi & Verany, 1857) 
POLBHEN;Polybius henslowi ;Z ;Z ;B;m;Polybius henslowii Leach, 1820 
POLCTYP;Polycheles typhlops ;C ;124.7.1 ;B;m;Polycheles typhlops Typhlops Heller, 1862 
POLYAME;Polyprion americanum ;C ;136.1.1 ;A;0;Polyprion americanus (Bloch & Schneider, 1801) 
POMABEN;Pomadasys incisus (bennetti) ;C ;162.21.4 ;A;0;Pomadasys incisus (Bowdich, 1825) 
POMSMAR;Pomatoschistus marmoratus ;C ;162.21.5 ;A;0;Pomatoschistus marmoratus (Risso, 1810) 
POMSMIC;Pomatoschistus microps ;C ;162.21.1 ;A;0;Pomatoschistus microps (Krøyer, 1838) 
POMSMIN;Pomatoschistus minutus ;C ;129.1.1 ;A;0;Pomatoschistus minutus (Pallas, 1770) 
POMTSAL;Pomatomus saltator ;C ;184.3.1 ;A;0;Pomatomus saltatrix (Linnaeus, 1766) 
PONIKUH;Pontinus kuhlii ;Z ;Z ;A;0;Pontinus kuhlii (Bowdich, 1825) 
PONPNOR;Pontophilus norvegicus ;F ;CRANG Pontop 1 ;B;m;Pontophilus norvegicus (M. Sars, 1861) 
PONPSPI;Pontophilus spinosus ;Z ;Z ;B;m;Pontophilus spinosus (Leach, 1815) 
PONTCAT;Pontocaris cataphractus ;F ;CRANG Pont 1 ;B;m;Aegaeon cataphractus (Olivi, 1792) 
PONTLAC;Pontocaris lacazei ;C ;13.8.1 ;B;m;Aegaeon lacazei (Gourret, 1887) 
PRIOGLA;Prionace glauca ;F ;PROC Proc 2 ;A;0;Prionace glauca (Linnaeus, 1758) 
PROCEDU;Processa edulis ;F ;;B;m;Processa edulis crassipes Nouvel & Holthuis, 
PROCMED;Processa canaliculata (mediterranea) ;F ;PROC Proc 1 ;B;m;Processa canaliculata Leach, 1815 
PROCNOU;Processa nouveli ;R ;PROC ;B;m;Processa nouveli holthuisi Al-Adhub & Williamson, 1975 
PROSSPP;Prosobranchia spp ;;;E;0;Prosobranchia Milne Edwards, 1848 
PSAMMIC;Psamechinus microtuberculatus ;C ;RIEDL ;E;0;Psammechinus microtuberculatus 
PSENPEL;Psenes pellucidus ;C ;177.3.2 ;A;0;Psenes pellucidus Lütken, 1880 
PSETMAX;Psetta maxima ;X ;195.4.1 ;A;0;Psetta maxima (Linnaeus, 1758) 
PSEVCAR;Pseudosimnia carnea ;C ;D'Angelo ;E;m;Pseudosimnia carnea (Poiret, 1789) 
PTEAPEL;Pteragogus pelycus ;F ;X ;A;;Pteragogus pelycus Randall, 1981 
PTEOBOV;Pteromylaeus bovinus ;C ;23.2.1 ;A;0;Pteromylaeus bovinus (Geoffroy Saint-Hilaire, 1817) 
PTERHIR;Pteria hirundo ;C ;PTER ;D;0;Pteria hirundo (Linnaeus, 1758) 
PUNTPUN;Diplodus (Puntazzo) puntazzo ;C ;137.8.1 ;A;0;Diplodus puntazzo (Cetti, 1777) 
RAJAALB;Raja alba ;C ;21.1.18 ;A;0;Rostroraja alba (Lacepède, 1803) 
RAJAAST;Raja asterias ;C ;21.1.2 ;A;0;Raja asterias Delaroche, 1809 
RAJABAT;Raja batis ;C ;21.1.10 ;A;0;Dipturus batis (Linnaeus, 1758) 
RAJABRA;Raja brachyura ;C ;21.1.3 ;A;0;Raja brachyura Lafont, 1873 
RAJACIR;Raja circularis ;C ;21.1.14 ;A;0;Leucoraja circularis (Couch, 1838) 
RAJACLA;Raja clavata ;C ;21.1.4 ;A;0;Raja clavata Linnaeus, 1758 
RAJAFUL;Raja fullonica ;C ;21.1.13 ;A;0;Leucoraja fullonica (Linnaeus, 1758) 
RAJAMEL;Raja melitensis ;C ;21.1.21 ;A;0;Leucoraja melitensis (Clark, 1926) 
RAJAMIR;Raja miraletus ;C ;21.1.1 ;A;0;Raja miraletus Linnaeus, 1758 
RAJAMON;Raja montagui ;C ;21.1.7 ;A;0;Raja montagui Fowler, 1910 
RAJANAE;Raja naevus ;C ;21.1.15 ;A;0;Leucoraja naevus (Müller & Henle, 1841) 
RAJAOXY;Raja oxyrinchus ;C ;21.1.12 ;A;0;Dipturus oxyrinchus (Linnaeus, 1758) 
RAJAPOL;Raja polystigma ;C ;21.1.22 ;A;0;Raja polystigma Regan, 1923 
RAJARDA;Raja radula ;C ;21.1.23 ;A;0;Raja radula Delaroche, 1809 
